,MSE,MAE,R2,RMSE,feature_engineering_applied,lagged,scaled,normalized,simple_short_lag,simple_medium_lag,simple_seasonal_lag,rolling_short,rolling_medium,feature_engineering,scaler,normalizer,model,model_family
771,2.630564528047932,1.2177797225731797,0.6840689601662072,1.6219015161371333,1,1,1,1,1,0,0,0,0,KBinsDiscretizer,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
772,3.616178270448128,1.4423127213339335,0.565333858277566,1.9016251656012888,1,1,1,1,1,1,1,0,0,KBinsDiscretizer,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
773,2.6368142064825912,1.21871861165801,0.6830538286961563,1.6238270248036246,1,1,1,1,1,1,1,0,0,KBinsDiscretizer,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
774,3.593490533011641,1.4359036329555788,0.5680609338137804,1.895650424791354,1,1,1,1,1,1,1,1,1,KBinsDiscretizer,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
775,2.645803362234432,1.213150915246445,0.6819733284122169,1.6265925618403745,1,1,1,1,1,1,1,1,1,KBinsDiscretizer,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
776,3.678497603090471,1.4513857955017326,0.5582191292782,1.9179409800852765,1,1,1,1,0,0,0,1,0,KBinsDiscretizer,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
777,2.999432336173572,1.300304018792672,0.6397736325741754,1.731886929384702,1,1,1,1,0,0,0,1,0,KBinsDiscretizer,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
778,3.4227121315407687,1.3959235509310373,0.5886298198143325,1.8500573319604905,1,1,1,1,1,1,0,1,1,KBinsDiscretizer,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
779,2.5957616134683588,1.2025873362561494,0.6880196517809904,1.6111367457383494,1,1,1,1,1,1,0,1,1,KBinsDiscretizer,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
780,6.788883121621514,1.97388965195706,0.1845018456771106,2.605548526053873,0,0,1,1,0,0,0,0,0,None,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
781,6.673516748867333,1.981116769348371,0.1983599519909942,2.5833150696086866,0,0,1,1,0,0,0,0,0,None,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
782,2.9639544592260587,1.2990518035361085,0.6440287990128963,1.7216139111967177,0,1,1,1,1,0,0,0,0,None,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
783,2.5719643859972576,1.188403605845506,0.6911068425732265,1.6037345123171909,0,1,1,1,1,0,0,0,0,None,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
784,3.4424751059530454,1.4050898158130496,0.586213051356368,1.855390822967777,0,1,1,1,1,1,1,0,0,None,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
785,2.5013880526060066,1.170599066179338,0.6993321090771036,1.5815777099485206,0,1,1,1,1,1,1,0,0,None,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
786,3.4080493771092337,1.397250861715535,0.5903510383728843,1.8460902949501776,0,1,1,1,1,1,1,1,1,None,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
787,2.561641725987439,1.1832556415186877,0.6920895923164283,1.600512957144502,0,1,1,1,1,1,1,1,1,None,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
788,3.50991165731145,1.4095632011502783,0.5784659946982404,1.8734758224518004,0,1,1,1,0,0,0,1,0,None,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
789,2.9492383557356554,1.2830316136706443,0.6458018383188864,1.717334666200987,0,1,1,1,0,0,0,1,0,None,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
790,3.25592876473396,1.364323235684074,0.6086752402348935,1.8044192319785224,0,1,1,1,1,1,0,1,1,None,QuantileTransformer,Normalizer,KNeighborsRegressor,Nearest Neighbors
791,2.621233752176394,1.1936051186757184,0.6849581970376952,1.619022468088814,0,1,1,1,1,1,0,1,1,None,QuantileTransformer,Normalizer,DecisionTreeRegressor,Single Tree
792,6.740056478055763,1.9759356808999844,0.190367028063715,2.596161874393768,1,0,1,0,0,0,0,0,0,KBinsDiscretizer,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
793,6.462913574311573,1.9597168821212816,0.2236581486262814,2.542226106055788,1,0,1,0,0,0,0,0,0,KBinsDiscretizer,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
794,2.8694879518291767,1.2828605772053705,0.6553742351704768,1.6939563016291703,1,1,1,0,1,0,0,0,0,KBinsDiscretizer,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
795,2.219561847785598,1.1352520374497217,0.7334304195659931,1.4898194010636316,1,1,1,0,1,0,0,0,0,KBinsDiscretizer,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
796,3.231682762316686,1.3545826563615109,0.6115503792922752,1.7976881716017064,1,1,1,0,1,1,1,0,0,KBinsDiscretizer,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
797,2.25292885170654,1.145868559720578,0.7291970090221573,1.5009759663987092,1,1,1,0,1,1,1,0,0,KBinsDiscretizer,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
798,3.1227337878807475,1.3316309917278684,0.6246460916219709,1.7671258551333426,1,1,1,0,1,1,1,1,1,KBinsDiscretizer,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
799,2.1831061325970778,1.1236483892171545,0.7375897290846332,1.4775338008306538,1,1,1,0,1,1,1,1,1,KBinsDiscretizer,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
800,3.6016282827367685,1.432735292464551,0.5674509948227422,1.897795637769454,1,1,1,0,0,0,0,1,0,KBinsDiscretizer,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
801,2.63974672385241,1.2307289616182997,0.6829712203240887,1.6247297387111526,1,1,1,0,0,0,0,1,0,KBinsDiscretizer,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
802,3.074658079749755,1.3164417423276182,0.6304618677625681,1.7534702962268152,1,1,1,0,1,1,0,1,1,KBinsDiscretizer,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
803,2.190113796912423,1.1249682620502637,0.7367738002385233,1.479903306609058,1,1,1,0,1,1,0,1,1,KBinsDiscretizer,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
804,6.773848173624411,1.9746590091517868,0.186307882417223,2.6026617478313256,0,0,1,0,0,0,0,0,0,None,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
805,6.670667060262644,1.976499337365,0.1987022639377291,2.582763454182873,0,0,1,0,0,0,0,0,0,None,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
806,2.755910760659292,1.2505808793800823,0.6690148661928721,1.6600935999693789,0,1,1,0,1,0,0,0,0,None,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
807,2.110239458684658,1.0904917533114071,0.7465600484716959,1.4526663273734466,0,1,1,0,1,0,0,0,0,None,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
808,3.1187147003897686,1.333548024085856,0.625129187620646,1.7659883069799098,0,1,1,0,1,1,1,0,0,None,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
809,2.0984861499366336,1.0878659480638009,0.74776108641959,1.4486152525555684,0,1,1,0,1,1,1,0,0,None,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
810,3.080783966389647,1.3252661912257704,0.6296884777240317,1.7552162164216825,0,1,1,0,1,1,1,1,1,None,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
811,2.1084262164981573,1.089077437034616,0.7465662862583065,1.4520420849610929,0,1,1,0,1,1,1,1,1,None,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
812,3.474488746620831,1.3995951542666931,0.5827202218357693,1.8639980543500656,0,1,1,0,0,0,0,1,0,None,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
813,2.5607141461883063,1.206882530905797,0.6924628891365143,1.6002231551219055,0,1,1,0,0,0,0,1,0,None,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
